ID_ESPACIO,ID_EDIFICIO,ID_UTC,ID_CENTRO,ID_CC,ID_SOROLLA,TIPO_DE_USO,LARGO,ANCHO,DIAGONAL,SUPERFICIE,ALTURA_MAXIMA,ALTURA_MEDIA,VOLUMEN,FALSO_TECHO,NMRO_VENTANAS,PERSIANAS_EXT,ORIENTACION_PRAL,ILUMINACION_ART,NMRO_PUNTOS_LUZ,NMRO_PUNTOS_AGUA,NMRO_PUNTOS_GAS,VITRINAS_RIESGO_BIOLOGICO,VITRINAS_RIESGO_QUIMICO,NMRO_VITRINAS_RB,NMRO_VITRINAS_RQ,PTOS_EXTRACCION_LOCALIZADA,NMRO_PTOS_EXT_LOCALIZ,TIPO_CALEFACCION,TIPO_CLIMATIZACION,ROSETAS_VOZ,ROSETAS_DATOS,CAÑON_FIJO,PANTALLA_PROYECTOR,EQUIPO_DE_SONIDO,TV,VIDEO,DVD,FOTOCOPIADORAS,IMPRESORAS,ORDENADORES,FAXES,TELEFONOS,PIZARRA,NMRO_PLAZAS,CAD_ASOCIADO,OBSERVACIONES,EXTINTORES_DE_POLVO,EXTINTORES_DE_CO2,NMRO_EXTINTORES_POLVO,NMRO_EXTINTORES_CO2,BIES,NMRO_BIES,TIPO_BIES,COLUMNA_SECA,GRUPO_DE_PRESION_INCENDIOS,DETECCION_DE_INCENDIOS,PROTECCION_POR_ROCIADORES,ILUMINACION_DE_EMERGENCIA,POTENCIA_ELECTRICA_INSTALADAW,RESERVABLE
"CRE.1201.01.660","CRE.1201.","01.660","DESPACHO",,6636,17,0.00000000,0.00000000,5.73500000,13.22000000,2.767,2.767,36.58000000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.670","CRE.1201.","01.670","DESPACHO",,6635,17,5.02700000,2.88000000,0.00000000,14.49000000,2.773,2.773,40.18100000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,5,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.680","CRE.1201.","01.680","DESPACHO",,6634,17,5.02500000,2.85000000,0.00000000,14.33000000,2.790,2.790,39.98100000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.690","CRE.1201.","01.690","DESPACHO",,6633,17,5.03000000,2.91000000,0.00000000,14.68000000,2.783,2.783,40.85400000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.700","CRE.1201.","01.700","DESPACHO",,6632,17,5.03000000,2.91000000,0.00000000,14.68000000,2.783,2.783,40.85400000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,2,0,1,1,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.710","CRE.1201.","01.710","DESPACHO",,6631,17,5.03000000,2.91000000,0.00000000,14.65000000,2.776,2.776,40.66800000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,5,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.720","CRE.1201.","01.720","DESPACHO",,6630,17,5.03400000,2.93000000,0.00000000,14.75000000,2.780,2.780,41.00500000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.730","CRE.1201.","01.730","DESPACHO",,6629,17,5.03400000,2.93000000,0.00000000,14.75000000,2.780,2.780,41.00500000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.740","CRE.1201.","01.740","DESPACHO",,6628,17,5.04600000,2.91600000,0.00000000,14.70000000,2.780,2.780,40.86600000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.750","CRE.1201.","01.750","DESPACHO",,6627,17,5.04600000,2.91600000,0.00000000,14.71000000,2.775,2.775,40.82000000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
